,慶豐商業銀行,三信商業銀行,花蓮區中小企業銀行,中央信託局,中國農民銀行,台北富邦商業銀行,高雄區中小企業銀行,連線商業銀行,台中商業銀行,中華商業銀行,王道商業銀行,臺灣中小企業銀行,中國信託商業銀行,玉山商業銀行,凱基商業銀行,瑞興商業銀行,安泰商業銀行,聯邦商業銀行,臺北國際商業銀行,華泰商業銀行,星展(台灣)商業銀行,合作金庫銀行,大眾商業銀行,交通銀行,國泰世華商業銀行,第一商業銀行,兆豐國際商業銀行,元大商業銀行,台新國際商業銀行,花旗(台灣)商業銀行,臺東區中小企業銀行,華南商業銀行,高雄銀行,陽信商業銀行,第七商業銀行,將來商業銀行,臺灣新光商業銀行,上海商業儲蓄銀行,日盛國際商業銀行,彰化商業銀行,臺灣銀行,中華開發工業銀行,臺灣土地銀行,渣打國際商業銀行,澳盛(台灣)商業銀行,樂天國際商業銀行,匯豐(台灣)商業銀行,遠東國際商業銀行,京城商業銀行,板信商業銀行,中國輸出入銀行,永豐商業銀行
2017年12月,0.23408191519339386,0.289331605194716,,,,0.25678547153500464,,,0.46719629779560595,,0.6346459655980287,0.5236911290185887,0.21535739079708147,0.36631846073842955,0.42295075348480415,0.2662976367894401,0.4002043486252419,0.21543046625168205,,0.4197791670248959,0.33124736747096695,0.4276105565216787,,,0.192103492374413,0.46766509119389316,0.43247755608932315,0.3663463033809213,0.246845001761648,0.24885821117594545,,0.4653723115153559,0.41419225528944137,0.4813088307401192,,,0.2911161526033428,0.3946940407945607,0.36347029563091804,0.4970074276258158,0.35134867570654493,,0.3319933783042829,0.16056332752776373,0.42526383114806526,,0.25696977745143224,0.2411461850101283,0.7097487547965307,0.4727522410307016,0.6019186238835593,0.3236022894847501
2018年1月,,0.29027280529139976,,,,0.24916571649886396,,,0.46434219985621855,,0.6219697835753094,0.5175557635106373,0.23751766792946288,0.3666865235370195,0.4132698246323981,0.28555024323026496,0.4053755246181424,0.21791891230926871,,0.42068365507067296,0.3372510192634198,0.42356673796980865,,,0.18380146065301795,0.46391178996325005,0.4243921615208618,0.327143959496819,0.2531012137996502,0.2674515905495339,,0.46125869853664125,0.4149768233629703,0.4863684115689161,,,0.28195569479481325,0.3917937312878051,0.36398993515665545,0.4936560519894276,0.3465066361944764,,0.33326069579027623,0.14035240786753408,0.44990483958673194,,0.2813726585483931,0.24730310558306434,0.7089601807785805,0.47519254514322357,0.6094198897612741,0.32566799811732644
2018年2月,,0.2932682246250436,,,,0.24376461434957566,,,0.46692654798958927,,0.6210102633930982,0.5178404834138074,0.2433460666109586,0.36895250502946947,0.4164081015974296,0.28276556469206243,0.3979126563356956,0.22579887218045114,,0.4254700962203635,0.3454507015611265,0.4325576835669789,,,0.1830982746607069,0.4677754796250394,0.4207936625227956,0.3257888342720219,0.2561278032083922,0.24402181973994297,,0.4597175251102206,0.4152060921068536,0.4898105413297092,,,0.2842158719131287,0.39010114398617557,0.3675576444855287,0.4950297748053074,0.33347661465095335,,0.3302450384771162,0.15264981259426286,0.4526729291204099,,0.2772043644942495,0.25134054247285403,0.7091969044865786,0.48308301142656473,0.615461819136862,0.3211198444247964
2018年3月,,0.29608643748161734,,,,0.2529306175219472,,,0.46455971442192534,,0.6122650900063562,0.5233606210366356,0.21552668176874118,0.37137229067226346,0.4287711392389085,0.28653420712109196,0.40353690896109295,0.22210399419384202,,0.4308204018856364,0.3483322646285911,0.4316704997186736,,,0.18243952035892388,0.45741766797128997,0.4286576436255866,0.3285064420343622,0.25526440483313323,0.24747193221761712,,0.456961901965648,0.41333731610783364,0.4867414177914762,,,0.28773550353760075,0.38742487000151576,0.36401510979220797,0.49811500531071096,0.32791562014248504,,0.3338377663830059,0.15063970743527894,0.4580943691345151,,0.2806459756405425,0.25849625997363207,0.7170622973992348,0.47552295276072787,0.6090033307228517,0.31619461050825487
2018年4月,,0.297577675637919,,,,0.24646846872143083,,,0.46542060393225976,,0.6068745087159569,0.5233495467511604,0.235254718836309,0.36452470863482206,0.40743855655985517,0.28567244733594127,0.39786207254423744,0.22252449806790836,,0.43119861261868225,0.35632120705582193,0.4318175817074734,,,0.1863154476846111,0.4573790011470386,0.4209411113379059,0.3261285628643079,0.250743248657745,0.24969670809748504,,0.455040446945944,0.41717404280719705,0.4838297294522476,,,0.2840270587552448,0.3865999783546437,0.3641955117721381,0.49964337752055676,0.3280487881418873,,0.3328131502288806,0.13579604578563995,0.5294421692974435,,0.2827514422704271,0.25076931977530625,0.7208401987970368,0.47677771849610656,0.6037592098783785,0.32175765485299945
2018年5月,,0.29986973363957353,,,,0.24701683559103305,,,0.4646349046147192,,0.598420724059774,0.5331816859072728,0.23726552358113973,0.3624099446217573,0.40712280183242205,0.28923591055367603,0.3859188569264115,0.22170513263195207,,0.401216593773209,0.3669643624487925,0.431856449109978,,,0.1904152387426922,0.45467516777448447,0.4171535178709354,0.3263721037425099,0.24744652053510607,0.25432933253713425,,0.45599904947531544,0.4160276616093307,0.48219826401162563,,,0.28632101945990707,0.3854937840480514,0.3659724565614634,0.5048928257031166,0.33612116740038545,,0.33665496838983594,0.1487901756160695,0.5397511513290781,,0.27438060575971845,0.2504762164669923,0.7268406246968668,0.4804815373071892,0.6113550032809915,0.32796179121366736
2018年6月,,0.2995168258783628,,,,0.2493847329918588,,,0.4660378622136893,,0.5994086966223189,0.5381473532253915,0.20923266181858688,0.3632488468214467,0.4164562295851127,0.2875917250528585,0.38297761636679606,0.21562590410061974,,0.40320787866473845,0.366003128722534,0.42977181890261956,,,0.1867349689583567,0.45555150792599464,0.4200480722674519,0.32451347039933465,0.23623815490055947,0.23953292925176997,,0.46009617689674775,0.41124519501676515,0.4844255236176332,,,0.2888367078429939,0.38723273149311416,0.3639505022785065,0.504778511956767,0.3411111307501993,,0.342444412321614,0.16508191712257014,0.5854317603289603,,0.2709051562784098,0.2611419520762765,0.7311967277669804,0.4740025809226799,0.6058466629895202,0.3244489399003218
2018年7月,,0.30051743150394433,,,,0.2405524335372679,,,0.46621486109733656,,0.590313383892451,0.5362933229879971,0.22932176096826512,0.35861702406574525,0.3941733505507763,0.2864595193243215,0.3727862892755128,0.22431987203208748,,0.40801903714155885,0.37257778505757766,0.43663062837364064,,,0.18665305419859562,0.4507944879032432,0.41248062083402676,0.31968685562506555,0.24356110431471206,0.23712152752397084,,0.455509006568253,0.41049237105162373,0.48130645259341975,,,0.2870735247895671,0.3821626027732451,0.36963895239041844,0.5032839873389142,0.340135210702769,,0.3399384887114901,0.1568852689853483,0.5722715064702532,,0.28410831827738864,0.2533616603679035,0.7281428192128254,0.46452928976982966,0.6067033158653096,0.33126516847029
2018年8月,,0.301234186449697,,,,0.24302368145733044,,,0.46081885339253825,,0.5945820556052188,0.5402684166585485,0.24139058984372075,0.3603586631250837,0.3967450325198401,0.2928561137752897,0.3639924372242738,0.2263723508929045,,0.41273494895525237,0.36912962923221093,0.4385752168375315,,,0.1890894451219552,0.45764809512513127,0.4089916281204241,0.3202657658163208,0.24624184825793238,0.24848966613672496,,0.4540632560821824,0.41068515038651526,0.4780504084162349,,,0.2826341083257566,0.3764596367026816,0.3731695766886635,0.5033365401434319,0.346348076944421,,0.33866448099844926,0.1621522734580289,0.5818274586504528,,0.2778795153619847,0.25771564908531963,0.7260255075807928,0.4569185422265991,0.6065616774158533,0.33446784021437237
2018年9月,,0.30000773082968984,,,,0.2425134974609459,,,0.458011940655077,,0.5892708714299963,0.5597488445745641,0.2152309033303091,0.35584253154199336,0.40412135765849155,0.3049423360465351,0.3628760103324723,0.22051978855654683,,0.41967585670713475,0.34402563687766247,0.432496337620675,,,0.19234557844728087,0.45446780789692737,0.41256562762409893,0.32147147949838356,0.24311027124234863,0.24513103239460163,,0.45794084748198743,0.41537893840476864,0.47820439713615914,,,0.28208371210624084,0.37404280990061517,0.3810695428164262,0.5065743704161656,0.35116116757335575,,0.34371892000898313,0.1700236324610281,0.6153551190831239,,0.28113917398401145,0.26689329959246727,0.7241396486989657,0.4436423222206136,0.6084478652907968,0.3440815714768276
