,聯邦商業銀行,陽信商業銀行,板信商業銀行,王道商業銀行,花旗(台灣)商業銀行,上海商業儲蓄銀行,第七商業銀行,台新國際商業銀行,中華商業銀行,臺東區中小企業銀行,樂天國際商業銀行,臺灣中小企業銀行,瑞興商業銀行,台中商業銀行,永豐商業銀行,澳盛(台灣)商業銀行,星展(台灣)商業銀行
2019年4月,0.52765126870527,0.8155440414507772,0.7662337662337663,0.22482758620689655,0.4264123785534365,0.5627719080174021,,0.22306610407876232,,,,0.7773475314617618,0.8518518518518519,0.7396963123644251,0.32164282418089524,,0.49002217294900224
2019年5月,0.08831058020477815,0.7928709055876686,0.7115384615384616,-0.10578842315369262,0.018702513150204558,0.5630416550181716,,0.2682033606204222,,,,0.6823347107438017,0.8322147651006712,0.7892287234042553,0.7517321016166282,,0.4845094664371773
2019年6月,1.8309002433090025,0.6968283582089553,0.6853002070393375,0.442719881744272,0.9247153874403232,0.5072372561359345,,0.2969215491559086,,,,0.6828036828036828,0.937984496124031,0.6886446886446886,0.266304347826087,,0.6746031746031746
2019年7月,0.7411764705882353,0.821944177093359,0.7250922509225092,0.3347245409015025,0.6157105606258149,0.5646514318773503,,0.20576871237307934,,,,0.7063781961225063,0.7006369426751592,0.7383241758241759,0.28664072632944226,,0.48153730218538054
2019年8月,0.22406417112299465,0.7735321528424977,0.7009345794392523,0.15403225806451612,0.44627554383651946,0.4618567364882338,,0.2366576819407008,,,,0.7278260869565217,0.7421383647798742,0.7154420921544209,0.2474702046323364,,0.38568298027757486
2019年9月,1.0196969696969698,0.8420502092050209,0.8279569892473119,0.7490864799025578,0.6777704485488126,0.6506108202443281,,0.34230975348338694,,,,0.8129667345553293,0.8758620689655172,0.7593869731800766,7.598784194528875,,0.5436187399030694
2019年10月,0.6451766953199618,0.8253638253638254,0.6965376782077393,1.2042628774422734,0.6572637517630465,0.5462046204620462,,0.19606299212598424,,,,0.7693804735647097,1.0072992700729928,0.7293404094010614,0.30155564419625047,,0.7233661593554163
2019年11月,0.45091225021720244,0.8432203389830508,0.7983014861995754,0.4647887323943662,0.3189950513894176,0.6271742697735477,,0.7402406809509833,,,,0.7557848655409631,0.5248868778280543,0.7340501792114695,0.3378796400449944,,0.5266932270916335
2019年12月,0.5465768799102132,0.7628083491461101,0.6375,0.7015968063872255,0.6833496892378148,0.5889679715302492,,0.36152249134948095,,,,0.8533568904593639,1.0223880597014925,0.7210834553440703,0.4373406193078324,,0.8074468085106383
2020年1月,0.20381174640217814,0.8196411709159585,0.7832422586520947,0.28597122302158273,0.01919956733369389,0.6077380952380952,,0.2466384940453323,,,,0.7386949924127466,0.7692307692307693,0.7479674796747967,0.24298958452558087,,0.3719951923076923
2020年2月,0.4449818621523579,0.8157625383828045,0.7267080745341615,0.2536764705882353,0.20438912545037669,0.5318141461970998,,0.26792249730893436,,,,0.7077963917525774,0.9154929577464789,0.7674597083653109,0.5130865361942938,,0.35021398002853066
2020年3月,0.7606478704259149,0.8321234119782214,0.7476635514018691,0.2814631122132672,0.1618705035971223,0.40993788819875776,,0.19281516797871162,,,,0.6295671725688589,0.8543046357615894,0.8279103398409255,0.20201342281879195,,0.42008797653958946
2020年4月,1.002269288956127,0.7702552719200888,0.6227272727272727,0.5684210526315789,1.7676452217364147,0.5727209464161448,,0.2517372786370769,,,,0.6543889845094665,0.9124087591240876,0.7619783616692427,0.3222152297042165,,1.739946380697051
2020年5月,0.18313253012048192,0.7991218441273326,0.8087167070217918,0.2587336244541485,-0.08640291041382446,0.52329360780065,,0.43505009667779926,,,,0.7619607843137255,0.8380281690140845,0.7962085308056872,0.6427590940288264,,0.3027295285359802
2020年6月,1.2858326429163214,0.7158570119156737,0.7268993839835729,0.6107784431137725,0.692775974025974,0.4375,,0.2705811863391252,,,,0.6975497702909648,0.875,0.7184231697506034,0.38055699705933227,,0.6941056910569106
2020年7月,0.27317554240631164,0.6875653082549634,0.6457399103139013,0.46239837398373984,0.7185604528912253,0.31223628691983124,,0.32978554408260524,,,,0.6366386554621849,0.9761904761904762,0.5931405514458642,0.27406073082861554,,0.11338697878566203
2020年8月,0.3320079522862823,0.7589098532494759,0.672566371681416,0.3242258652094718,-0.07695690413368514,0.5108543417366946,,0.607645875251509,,,,0.7493261455525606,0.6580645161290323,0.722010662604722,0.5988459608630206,,1.3690685413005272
2020年9月,1.44524236983842,0.8994475138121547,0.7302904564315352,0.5212876427829699,0.8073522568636575,0.5125591554423007,,0.23245848955543652,,,,0.7201693610469592,0.9,0.7490165224232888,0.2764291307752545,,0.8971631205673759
2020年10月,0.4402555910543131,0.7973997833152763,0.7311111111111112,0.4298978644382544,0.4985408560311284,0.5622406639004149,,0.4283420313127258,,,,0.7616822429906542,0.7133333333333334,0.740598618572525,0.3594507269789984,,0.7382716049382716
2020年11月,0.15233698788228506,0.7919389978213508,0.5708333333333333,0.48107653490328006,0.7022168963451169,0.5,,0.29020047665778775,,,,0.7332053742802304,0.7986111111111112,0.6570605187319885,0.3644095518482172,,0.4827586206896552
2020年12月,0.5233226837060703,0.7410714285714286,0.6846473029045643,0.38918106686701726,-0.47264150943396227,0.3251684017146356,,0.28869746802401464,,,,0.7477512710207275,0.968503937007874,0.6093257718966604,0.36009212041454186,,0.6766169154228856
2021年1月,0.4485157699443414,0.7690058479532164,0.6996124031007752,0.2358642972536349,0.6894351217206334,0.4484139205420388,,0.1880907372400756,,,,0.7654417513682564,0.5974025974025974,0.5503875968992248,0.2976462676529926,,0.30187265917602996
2021年2月,0.34217016029593095,0.824696802646086,0.770935960591133,0.5147540983606558,0.2513850415512465,0.38254027725739975,,0.2817043328055276,,,,0.6925490196078431,0.9917355371900827,0.6366389099167298,0.47604790419161674,,0.2743161094224924
2021年3月,0.4267265581134194,0.8202357563850687,0.6912350597609562,0.048005908419497784,-0.8663366336633663,0.45452316744300075,,0.48579545454545453,,,,0.670355466130114,0.6,0.5778481012658228,0.21728638806624986,,0.6105263157894737
