,陽信商業銀行,中央信託局,華南商業銀行,王道商業銀行,中國信託商業銀行,台北富邦商業銀行,玉山商業銀行,臺灣新光商業銀行,樂天國際商業銀行,臺灣土地銀行,渣打國際商業銀行,彰化商業銀行,聯邦商業銀行,花蓮區中小企業銀行,日盛國際商業銀行,高雄銀行,澳盛(台灣)商業銀行,花旗(台灣)商業銀行,將來商業銀行,永豐商業銀行,京城商業銀行,連線商業銀行,中國農民銀行,臺北國際商業銀行,中華商業銀行,星展(台灣)商業銀行,三信商業銀行,上海商業儲蓄銀行,國泰世華商業銀行,第一商業銀行,合作金庫銀行,遠東國際商業銀行,交通銀行,台新國際商業銀行,華泰商業銀行,第七商業銀行,板信商業銀行,大眾商業銀行,高雄區中小企業銀行,慶豐商業銀行,中華開發工業銀行,中國輸出入銀行,兆豐國際商業銀行,臺灣中小企業銀行,台中商業銀行,臺灣銀行,元大商業銀行,凱基商業銀行,臺東區中小企業銀行,安泰商業銀行,匯豐(台灣)商業銀行,瑞興商業銀行
2018年1月,0.013421834317356706,,0.006062111240305702,0.003945592358010591,0.014212524522603137,0.014724591505979445,0.014175136930349658,0.008762238561469009,,0.007485291939848409,0.011161116111611162,0.009166755946003857,0.0051634041141340415,,0.005004485151786979,-0.02149223691776883,0.0005010599344767778,0.011552276478011844,,0.00865835190015937,0.013390494336826505,,,,,0.0026917900403768506,0.006767862322343614,0.010322738585825615,0.018574302648034363,0.009406646087530151,0.0069301098422409994,0.00488292603529658,,0.011479763745193642,0.00031857279388340236,,0.001804177364513219,,,,,0.0018484921096771985,0.009380910903213345,0.008264252657275085,0.0075003409245874815,0.002617616795648254,0.0070883843949746525,0.011715249376761768,,0.0035609227434587397,0.019004173144587185,0.0007493443237167478
2018年2月,0.007539335664335664,,0.006059077405975001,0.001971022511151838,0.009571284747469098,0.007992095729498298,0.011431414828329739,0.007959067652075043,,0.006759520664149729,0.006316355328584868,0.006867518834053834,0.004106861362316435,,0.004001129730747505,0.005722460658082976,0.0017736649315596685,0.008155946321147616,,0.004620378634105503,0.01114518064258099,,,,,0.004080869754836298,0.004817419789960497,0.008059127102337228,0.00948559314701047,0.007558404715482199,0.006422353743244178,0.004194864188374896,,0.006161541253135996,0.00021249468763280918,,-0.0020176720239337646,,,,,0.0019478522366127874,0.007242816787440486,0.007982491650642647,0.006418514249553642,0.0025348542458808617,0.006742560766559711,0.004118925810300583,,0.005305858037449486,0.011044461557167755,0.002058768482126146
2018年3月,0.010491660938460982,,0.006705568634451672,0.002312896989781828,0.011671160893313973,0.009428983378220299,0.010444482445640021,0.010455185358986391,,0.007508327781479014,0.005425075906411859,0.008335149629805756,0.0055607994418681,,0.00243971098808295,0.009861932938856016,0.003957428823913628,0.009812078611390045,,0.00610555228565823,0.013393329804129168,,,,,0.0035710958606341024,0.00831819485610479,0.009948406725638074,0.008161731146132575,0.008615494942754268,0.006637319303862334,0.008857497814383657,,0.007264168647566621,0.0008426374552348852,,0.0022192939871003535,,,,,0.0019468542933260469,0.010434601698806244,0.01002719877668175,0.006706742631555337,0.002569695020420197,0.008553498642786695,-0.00547364268455052,,0.00973706843592579,0.013496169734889504,0.0035414725069897483
2018年4月,0.0100093276888857,,0.006213009530689933,0.0019201755589082431,0.009012899069238255,0.011372881550149538,0.010981534148897083,0.008829855477151805,,0.008484864479691748,0.006041356639939586,0.008767399135682204,0.00549685457765834,,0.005864538768446859,0.005695401490648291,0.0016501650165016502,0.010053015430430289,,0.007608771916147591,0.009009487867754538,,,,,0.006888030888030888,0.008357075023741691,0.008715410466437328,0.010623354288064348,0.008629941416826662,0.006942726148024161,0.008943684523537216,,0.007817235216411532,0.00021085925144965736,,0.0022192939871003535,,,,,0.0018989487962021024,0.008336419577232067,0.008607519469389277,0.008034184229853338,0.0029224600530630973,0.00849214541606308,0.010025926290571363,,0.006232623506767285,0.00977620261229691,0.0039135296310100634
2018年5月,0.010217838643298092,,0.010115925793913471,0.003986235562672481,0.008849716701142188,0.01430759925155032,0.011584336255205215,0.010380040397995062,,0.007503016947373944,0.008536450865776993,0.008886001948684637,0.007660755217758475,,0.0036358417452040377,0.005932025961337148,-0.0015381657373582003,0.01185696596750591,,0.006783125813045902,0.016772187048761523,,,,,0.0011535463756819954,0.007457051161034548,0.010828165822027763,0.01112478646988297,0.00850691154553323,0.00778289352783117,0.008508031581813232,,0.009986434140202343,0.00042122999157540015,,0.0035901684617508974,,,,,0.002020678274340754,0.00978587167088121,0.009809324369006944,0.008826709623320167,0.0026977375415832244,0.010345292083875893,0.001885519555778512,,0.008252927968930153,0.012619795109054859,0.0035250463821892395
2018年6月,0.011125328783678112,,0.009169829967880325,0.00870349179929956,0.009954082779436792,0.009661564702185915,0.011739104394178362,0.010110191815382332,,0.007423103923454928,0.005321196476688631,0.007298253987193254,0.006955743573055646,,0.004759411736709343,0.004425711275026343,0.003793975626580823,0.010881705005379374,,0.009198517971995444,0.01300889355355466,,,,,0.002240896358543417,0.008304696449026346,0.014074400247892102,0.012406168535443952,0.010185584807941303,0.007249691371686857,0.0073672957144185185,,0.009898563443308587,0.0005265374894692502,,0.004608611913605723,,,,,0.0015293930221443365,0.00771430349761468,0.013669614048915051,0.01026847307353041,0.0030966528057699656,0.00981056687239128,0.005273373756806431,,0.004769921436588103,0.011304276852758734,0.003788596325061565
2018年7月,0.009920146339747422,,0.00988723329757849,0.0052765898744654436,0.01105176168486164,0.012809602474038723,0.013734221760322044,0.011395959114014644,,0.01144456238540963,0.008568922474866743,0.010368103799230435,0.009611148932762005,,0.004879897664281992,0.003990758244066373,0.0004596644449551827,0.010910199106054449,,0.01292028651747852,0.013559138913648273,,,,,0.0029818294766268054,0.0076937689969604865,0.011351442932173716,0.014191681060641427,0.010835656695049356,0.00823801079564277,0.013319860371118868,,0.008605189808817179,0.0006309811757282574,,0.004257656915258893,,,,,0.001907547529725949,0.010562358539840984,0.01095690284879474,0.010210021942591017,0.003160927941888305,0.010772755012692039,0.015419285968449768,,0.004871842611555886,0.009641873278236915,0.003769317753486619
2018年8月,0.008272900091529959,,0.009102172297018254,0.0034015942825728423,0.008418546014848018,0.011251115198643037,0.010936685773840542,0.009911774316523254,,0.005798340233081795,0.006464312076408616,0.00906548302736517,0.00635283272209864,,0.0025018882175226586,0.003969912244045131,-0.004385627452489036,0.009173018638043358,,0.007022305683333465,0.015427732550380355,,,,,0.002904282271519496,0.0077198267746187155,0.011864622431452383,0.015542800048937645,0.009604741317264213,0.008403969452391176,0.006889471883198358,,0.008772612635053087,0.000629656837023822,,0.005998112953228198,,,,,0.001975045457395448,0.007772020725388601,0.009661660937217298,0.009693017478484606,0.0031512842451931616,0.008857077777583095,0.0003716090672612412,,0.008356460067838422,0.00883459781449357,0.004874390701162355
2018年9月,0.00754270251987147,,0.0072737422829370815,0.0008620689655172414,0.007337279767565083,0.007824820396004906,0.010060453237642647,0.008300481030055337,,0.0045298672214481575,0.0015411073638130124,0.006507030956908707,0.005076142131979695,,0.0037181719772203135,0.004020797227036395,-0.0039564399874647445,0.009506197520991603,,0.005910787974061702,0.010896430754511388,,,,,-0.0049680183816680126,0.007394234369150131,0.008468167567312085,0.010830983915786057,0.008024685272632275,0.007156270862450711,0.007266616708676794,,0.007901095480217614,0.0006298551333193366,,0.0009440323668240054,,,,,0.002351244592137438,0.007617929340841481,0.008384665988876263,0.008655625055061228,0.003145680529421553,0.0074999781977377975,0.008897968831782802,,0.007958211706867415,0.010951526032315978,0.0018688095683049898
2018年10月,0.008307268018699762,,0.006425935227446442,0.0033462122257485855,0.011327739044517737,0.009666348075419237,0.010545097460319498,0.009139518595076617,,0.005481682151464855,0.005385317221888421,0.00686571209178373,0.0028358450818343865,,0.006037064769749158,0.004285911793170193,0.00015659254619480113,0.011488565858871726,,0.00697523478859252,-0.013582905416597648,,,,,0.0009317059536010435,0.006709533128319821,0.010057238198966468,0.006204568265458195,0.00807618898085953,0.006983944128446972,0.007996927733977907,,0.006179493237257102,0.0007373854419045612,,0.003094517322569795,,,,,0.0024595267745952678,0.00535542147166982,0.008933350779735212,0.005772987685756305,0.00315078818227989,0.009301478874460376,0.0015035281655247825,,0.008799535580066608,0.008298344292165095,0.003554059109614665
