,中華商業銀行,華泰商業銀行,臺灣土地銀行,中華開發工業銀行,匯豐(台灣)商業銀行,中國農民銀行,臺北國際商業銀行,元大商業銀行,澳盛(台灣)商業銀行,上海商業儲蓄銀行,第七商業銀行,台北富邦商業銀行,合作金庫銀行,交通銀行,臺灣銀行,板信商業銀行,凱基商業銀行,星展(台灣)商業銀行,王道商業銀行,台中商業銀行,臺灣中小企業銀行,臺灣新光商業銀行,彰化商業銀行,渣打國際商業銀行,高雄區中小企業銀行,樂天國際商業銀行,國泰世華商業銀行,安泰商業銀行,台新國際商業銀行,陽信商業銀行,華南商業銀行,聯邦商業銀行,中央信託局,將來商業銀行,臺東區中小企業銀行,第一商業銀行,玉山商業銀行,中國信託商業銀行,中國輸出入銀行,京城商業銀行,兆豐國際商業銀行,三信商業銀行,日盛國際商業銀行,大眾商業銀行,花蓮區中小企業銀行,高雄銀行,遠東國際商業銀行,花旗(台灣)商業銀行,永豐商業銀行,瑞興商業銀行,慶豐商業銀行,連線商業銀行
2018年10月,,13.843990308648477,17.806951943071905,,13.879921571734137,,,9.898645954333466,4.226002192295646,8.213967356460346,,11.98289925275871,14.591427268581851,,15.445076327358482,15.502253615876219,11.176391190691794,12.930898475107922,,13.755098009087517,17.94368777284785,13.989920904726924,12.352119401444122,12.697265059972851,,,13.005018400802944,8.516697729842036,12.177677042112101,14.908519153802173,13.169372802515777,11.420798898071626,,,,12.403053839624354,12.878702497320402,10.259358605045993,,6.8494009165700405,10.13476739619408,14.247227658186562,10.412953949831524,,,17.724249965436194,12.849300833578061,6.919372235471071,11.110634105144626,15.415450804339693,,
2018年11月,,13.864028625552516,17.82182997757194,,14.012590531446728,,,9.991860955842455,3.7522407922032173,8.250832374376678,,11.863209660615286,14.612525117213664,,15.406775347143915,15.3580205465655,11.012595406783722,13.213337065721129,,13.21087002317253,17.73196996174373,13.71465626854285,12.260062792336772,13.28450998709907,,,12.837030635742865,8.47219435069476,12.131924999633501,14.611090757701914,13.231150050483667,11.67694851014072,,,,12.498411055732648,12.947709753456074,10.22245976806055,,7.079387070852614,10.665224772173568,14.388739449030702,10.574808303721714,,,17.75215680861343,12.854261898359773,6.742414739317915,10.868524500836804,15.441543911989559,,
2018年12月,,13.6496480722765,18.128873423116804,,14.138354900151198,,,10.05726392251816,4.376111371080954,8.085026811285113,,12.151825359662862,14.674553422569428,,15.268839215484004,14.86091857226145,10.635746838913066,12.931805615285372,,13.316670152687722,18.0471121044583,13.644059256273305,12.20424704269362,12.87903690249413,,,12.732449792827264,8.353977784449114,11.353148768739283,14.685123857464564,13.320868359476558,11.86183615648924,,,,12.856867810489375,13.087622320633256,9.721592350011328,,6.9346862210095495,10.231819274043083,14.243128574063826,10.424293154761905,,,17.589275804661487,13.069530429340903,6.531276289198101,10.81242009840003,15.103224610822831,,
2019年1月,,13.975433828141334,17.68406309799577,,13.95159579596953,,,9.939335208562019,3.9685690974785346,8.076531802346143,,11.90859131612214,14.787127291553903,,15.29855692417048,14.633570045190446,10.654128778981981,13.018111412629203,,13.112476135137378,18.018549962783773,13.444167704441677,11.908631714361388,13.4709075784773,,,12.645810780498747,8.280555804037332,11.785124838328741,14.584446906981292,12.866264829290111,11.804085587723462,,,,12.613910149431241,13.01548031956959,9.9538670600509,,6.626010726634179,9.851014515046426,14.13323545604698,10.421376945885841,,,17.05716834808867,12.528702374378796,6.73859372762423,11.058028792912515,15.850249584026622,,
2019年2月,,14.023608944357774,17.640003748594278,,14.24154552263169,,,9.920653154303023,4.506217938753303,8.01754321033347,,11.494412250570312,14.742850087131554,,15.125274683399596,14.63165347235631,10.729161489139619,13.088580576307363,,13.081181267762263,18.06301189968782,13.758178552004878,12.03109504842774,12.907044346818788,,,12.594320623632912,8.246372519988155,11.409591754187762,14.594558747412009,12.765747886419389,11.660025294289328,,,,12.663303526555847,13.13209546457042,9.954311701711669,,6.564075491619374,9.868528449876667,14.183749772022615,10.484796751718727,,,16.915034013605442,12.837867437683444,6.668218110266015,10.913657877969598,15.63111438028687,,
2019年3月,,13.69518109586214,17.375172618789595,,13.62423815328356,,,9.750668887879247,4.261701547215402,7.961872229086416,,11.639262128260508,14.615126866016546,,15.011332046452644,14.725291629278297,10.307580484458455,13.426463414634146,,12.961706470708307,18.155490026414064,13.732350065189049,11.903247472046367,13.25683462588276,,,12.28202766718147,8.236270039711723,11.653512707594185,14.6965739102461,12.568985919751444,11.440440555683475,,,,12.839622818100988,13.061757531888492,9.795993701605441,,6.302485201061441,9.928559163123587,14.194912185406482,10.397725188038892,,,16.781884155355463,12.700361166980255,6.423594172017084,11.122277931039667,15.369676945668136,,
2019年4月,,14.484375,17.33761069278495,,13.558180127876753,,,9.689793769637008,,8.005765783923469,,11.907543637260465,14.60481595485443,,14.78879295729931,14.611730953139942,10.276687255440933,12.828300390434359,,12.783350840336135,18.226240007216227,13.767575510204082,11.840545584890735,13.353773483165455,,,12.20024441177297,8.169803612594473,11.736852911385474,14.662666709106535,12.463086557079883,11.369381119806434,,,,12.571626739169638,13.611317522890717,9.887253370773854,,6.115651194795446,9.885052698926964,14.166216702663787,10.78426620683227,,,16.617421973780527,12.852042678345247,6.310940001665849,11.186653410280178,15.497717728683586,,
2019年5月,,13.558709016393443,17.623195280666543,,14.990791745457535,,,9.916502997284512,,7.785667027970551,,12.113893804845002,14.76414584801853,,14.778289879313608,14.513841486537732,10.50727630602433,12.668515397579286,,12.506916224602142,17.991409297518366,13.649065013080127,11.822441286974826,13.194153819874451,,,12.62497841312482,8.112394349890009,11.931364432199134,14.672141980553196,13.152972759573629,11.411121188073915,,,,12.41463536327597,13.636953532789589,10.659073294018533,,5.853428777371809,10.67064260422127,14.251297190910718,10.717239465285166,,,16.764237883710138,12.909627980649857,6.324411477221862,11.66075868805873,14.837053166394483,,
2019年6月,,13.446884576098059,17.321650071468373,,14.913086117070181,,,9.977236225930247,,8.349473099555663,,12.076936307724383,14.56446264073695,,14.349470049542111,14.465222849968614,10.296570072167084,11.386028779453076,,12.65869490253352,18.35324125917631,13.374861829774282,12.352686215415332,13.253464203233257,,,12.359638294954197,8.619494364910143,11.61389413670927,14.835640741327419,12.677180882421991,11.273353181987346,,,,12.76879096227787,13.337354888375673,10.403882694763087,,5.994943493540313,10.447560259918404,14.566215848234547,10.562522986392056,,,16.6279608310176,12.79227493917275,7.290207632432863,11.790806160119866,15.057681743270463,,
2019年7月,,13.320810425575239,17.053397883088767,,13.80778514777176,,,9.851641329207588,,8.326165433639362,,11.96939190615715,14.512208664563047,,14.358504862103148,14.613098961591392,9.733236473895328,11.507969269579176,,12.553717344926136,18.507280567094096,13.497733382112012,12.356748531834358,13.435195617116221,,,12.2143499997644,8.37664453832227,11.766805377720871,14.94113577762405,12.460463818152688,11.335513179828176,,,,12.43810509166495,13.317574323829964,10.575208650412327,,6.255684808927255,10.375908250040444,14.282448244824483,10.541917258975761,,,16.472295340879178,12.512700780422422,7.185231120560674,11.815938378138327,15.635732553891122,,
2019年8月,,13.323636732211636,16.795782862270077,,13.724773974814337,,,9.884147613919982,,8.186332887168541,,12.002516225048714,14.42599147131076,,14.47410831595569,14.482363151695493,10.068132144598016,11.755446903413965,,12.58176295437741,17.308364239184723,13.554083398898506,12.443410114576743,13.212349695544173,,,12.23024541500527,8.378672273956143,11.952213339696934,14.581806003775194,12.47475620293791,11.391407811080835,,,,12.710071959199832,13.254265501456512,10.585923977351626,,6.271226536384675,10.398991289678321,14.326475849731663,10.484328290606033,,,16.55377964103236,12.408533973095707,7.210876933265807,11.87662130796887,16.175291545189506,,
2019年9月,,13.39404074186683,16.686826111356552,,14.689391487295678,,,9.89265964258688,,8.219101409824372,,11.773410839703198,14.433876872476665,,12.850370985426713,14.541653762774853,9.84678962391393,11.662145818935729,,12.48798267916733,17.087782008718804,13.710280373831775,12.254069400236379,12.89299402115591,,,12.581090827346552,8.280477536536958,11.798418972332016,14.50778316172017,12.481943303204602,11.608267501547198,,,,12.622776793560897,13.426796258368965,10.657063524136044,,6.128106781221233,10.027175479225185,14.28517957401301,10.605571583122972,,,16.521770257077772,12.633720557088761,7.235289581987991,11.922531952819813,15.89685854367169,,
2019年10月,,13.150865121926541,16.753238557889222,,14.155553774643373,,,9.773868848394695,,7.449555678611924,,11.786846263751244,14.391897069437142,,12.582984606583254,14.405254091300604,9.689461865804061,11.454433497536947,,12.31354242741251,17.1091652872521,13.577734527053329,12.230730368614733,12.501166060024847,,,12.34167351620438,8.149854699062285,11.5950829247803,14.47181534397887,12.298266663262961,11.607867675063932,,,,12.894380853277836,13.089614765252218,10.661127304263907,,6.061407711900739,10.077596243871936,14.080035492457853,10.422892053366875,,,16.345407503234153,12.707724647528453,6.751194617531251,12.342721265367226,16.17793078456242,,
2019年11月,,13.136047566260203,16.665817822180898,,13.124715602921805,,,9.760772073921972,,7.417000561203848,,11.855080103826207,14.47826990598661,,12.464227785939029,14.503334761059781,9.634247518862903,11.979795089004636,,12.301419830561656,17.241692888609187,13.484244412802575,12.23916964711862,12.134437946718649,,,12.407198175994388,8.235668789808917,11.616630951758742,14.470568970137256,12.434110221174175,11.588339729564936,,,,13.045249987410212,13.285232922547657,10.580606845214014,,6.141292387716315,10.747792464213239,13.993991871355362,10.5364380620051,,,16.243476025196042,12.810921083229394,6.934631669682015,12.179701775361501,15.819422006821037,,
2019年12月,,13.330046286979272,16.860700629746137,,13.392210270990317,,,9.917085860119316,,7.4221533644280635,,12.206986177884616,14.447390807992207,,12.5400662531568,14.329157798723017,9.32165118743377,11.001682637462926,,12.169383139670904,17.29604457057881,13.447167956751443,12.10457246412545,12.539332694485582,,,11.668904874694041,8.08707781800914,11.741987440741296,14.924739670299644,12.550189729319504,11.334058759521218,,,,13.139220271479987,13.216974510744324,10.211242479474814,,5.82922896511287,10.355259685738275,13.791528961558532,10.636331192005711,,,16.458919128079454,12.88904868660378,6.630980466169671,11.694446315379837,15.582990152193375,,
2020年1月,,13.312318623036125,16.70506773707978,,13.177957930776648,,,10.00524170538844,,7.355411923596373,,12.055358466327387,14.353754052509174,,12.708024399707542,14.403922751961376,9.767031985961887,11.289383950897932,,12.027858982053317,16.89130502800288,13.501925117477642,12.110898052453273,13.279101473738882,,,11.677532894165088,7.923994126284875,12.160393051955587,14.854466126766876,12.396050753051417,11.74868374868375,,,,13.00410878320286,13.456091699020151,10.659416467669804,,5.716632835820896,10.217449550618959,13.577781623118186,10.871325322573494,,,16.189542900919307,12.415921044360163,7.223977209041659,12.05487557454092,15.75276489475562,,
2020年2月,,13.366367265469062,16.71382026159111,,12.435251166513735,,,10.003971270968472,,7.248997858261676,,11.810761232097311,14.521021157363567,,12.523478947368421,14.470521133525457,10.009686304514155,11.161592439590288,,12.084326482046558,16.873700849226193,13.679184565415875,12.076835765153874,13.343364164336416,,,11.689330607103726,7.945823006269135,12.18971879536719,14.975484404536862,12.397666893052614,11.763202515101204,,,,13.109713768748797,13.331594139815122,10.578166710471733,,5.68773427002051,10.269929702473382,13.584573050133287,10.71662173509524,,,15.866675139806812,12.37848580704237,7.251546734978868,12.318442865817525,15.802949538024166,,
2020年3月,,13.065184740162211,16.70643228887539,,12.94730209201776,,,10.117970092320846,,7.500238561922938,,12.639543609846653,14.658467908176243,,13.013294605174796,14.154209801926875,11.554355389152116,10.909213977493867,,12.047315950920245,16.463588089278048,13.480280508271397,12.478157091312795,13.391745328247854,,,11.891657975705698,8.069325046468402,12.565791006900838,15.066935316601974,13.059593458185008,12.195880520158958,,,,13.361302146486851,13.506858258832693,10.546221888004487,,6.7120707223706315,10.161763703764276,13.523825848474461,10.704087048832271,,,16.32851511169514,13.305628106832927,7.444712000659226,12.592543096690383,15.838256484149856,,
2020年4月,,13.227968967575094,16.35080481655824,,12.143241695303551,,,9.876150964675555,,7.500839881837314,,12.64210568724914,14.575651473904255,,12.83306306960434,14.16263448849789,11.7663368011503,11.45369451141682,,12.01663501709077,16.346845313612032,14.320498560087765,12.266662606206413,13.268162438262484,,,12.135874082667698,8.081783955980306,12.12120766773163,15.049182253281264,12.995687296020758,12.19839001447178,,,,13.078670994844376,14.350266691410202,10.706831411486668,,6.350816453079785,10.05256837846797,13.46703577512777,10.784654020359657,,,16.212009803921568,12.533509791352179,7.075498096648466,12.42307212515685,15.688618468146027,,
