,陽信商業銀行,中央信託局,華南商業銀行,王道商業銀行,中國信託商業銀行,台北富邦商業銀行,玉山商業銀行,臺灣新光商業銀行,樂天國際商業銀行,臺灣土地銀行,渣打國際商業銀行,彰化商業銀行,聯邦商業銀行,花蓮區中小企業銀行,日盛國際商業銀行,高雄銀行,澳盛(台灣)商業銀行,花旗(台灣)商業銀行,將來商業銀行,永豐商業銀行,京城商業銀行,連線商業銀行,中國農民銀行,臺北國際商業銀行,中華商業銀行,星展(台灣)商業銀行,三信商業銀行,上海商業儲蓄銀行,國泰世華商業銀行,第一商業銀行,合作金庫銀行,遠東國際商業銀行,交通銀行,台新國際商業銀行,華泰商業銀行,第七商業銀行,板信商業銀行,大眾商業銀行,高雄區中小企業銀行,慶豐商業銀行,中華開發工業銀行,中國輸出入銀行,兆豐國際商業銀行,臺灣中小企業銀行,台中商業銀行,臺灣銀行,元大商業銀行,凱基商業銀行,臺東區中小企業銀行,安泰商業銀行,匯豐(台灣)商業銀行,瑞興商業銀行
2019年3月,0.0006824777426177633,,0.0006565690521240528,0.0005874461872988874,0.0010684660280128758,0.0009262975251219693,0.0008543248519422589,0.0005730234286934291,,0.00040373702767317385,0.000604749256978928,0.0005070202056227191,0.0004704278271170023,,0.0003903169212445074,0.0002645202735895401,-0.0005036663950818458,0.0017587104636348529,,0.0006399353119653641,0.0021313841068627075,,,,,6.973972290083434e-05,0.0005183415453727591,0.0011110534408595174,0.000861242215661167,0.00070670446126634,0.00042916613020900393,0.000790855750121154,,0.0007287941892846525,0.00021065788457352313,,0.00016303506068980134,,,,,0.0006384128075430928,0.0007972582110996444,0.0004820308297646608,0.0006535240590423168,0.00010007623741438898,0.0008702729777109943,0.00043045917571401333,,0.000627414510791848,0.0006016949042172041,0.00017940840079836738
2019年4月,0.0006096644000699082,,0.0006460580893816967,0.0005637651157657362,0.0005602066908318655,0.0008033277079848309,0.0008292217038868259,0.0005295661537577086,,0.00042166811907907683,0.0003275811289227089,0.0004822633456273587,0.0004752699181649385,,0.00029661268315833185,0.0002266400238727492,,0.0015582889961504819,,0.0004931810360850259,0.001758229392672403,,,,,8.382100245507305e-05,0.0004153637102660108,0.0011038215725580845,0.0007541068852512514,0.0006142901677799185,0.00044029833441010734,0.0005873765191974484,,0.0006748849310445993,0.00018588347761431834,,0.00039612855801037287,,,,,0.00048704065977774714,0.0008413442373547462,0.0004762027638526915,0.0005979502616765177,0.0003168550486742457,0.0007746611541434991,0.0008043956422117009,,0.001050152749490835,0.00036099765677333255,0.00016600633037473162
2019年5月,0.0006625907297533356,,0.0005630951039364215,0.0003739100521978433,0.0010026504192402518,0.0008321363197870244,0.0007727292047434862,0.0006239265927214443,,0.00039775169060796573,0.0006528583613255131,0.0005931846283576612,0.0004156067173006572,,0.000450032568146379,0.0002612544693175287,,0.0019181936552439772,,0.0006903110374363683,0.0015485939347342004,,,,,0.0003609282806363098,0.00046340018418690866,0.00122331263769277,0.0009157602658627035,0.0007290012311194261,0.0004506314647613163,0.0004955142114091378,,0.0006439119619635378,0.00019001639771135806,,0.0004033243705695429,,,,,0.0005468567798177681,0.0006040551440932757,0.0005015021657637287,0.0006165356034490424,0.0003317613840581981,0.0009777939092044043,4.065929751950244e-05,,0.0007623524927338278,0.0005347153668970056,0.00035518687412635486
2019年6月,0.000708209630050495,,0.0006480772627108397,-6.191548830681778e-05,0.0009812132485828389,0.0007030854850711914,0.0008277391852675311,0.0005995618072442223,,0.00035206018014241744,0.00028043411200538433,0.0004840671864434689,0.00043361584062343646,,0.00035386548340410643,0.00030026761351054126,,0.0014551846355554915,,0.0005011689917687522,0.0017023829747244922,,,,,-3.9342835785317715e-05,0.00037902421673187826,0.0013703699838397494,0.0008761676039594988,0.0007045097599282028,0.0004968642023371323,0.0007906931323103675,,0.000719014933551081,0.0001414077137907873,,0.00032066763814077716,,,,,0.0004444121235627308,0.0009138261055937028,0.0002945711243148591,0.0006415587501485089,0.00023512653504666637,0.00071922003897957,0.0007996085161832584,,0.0004591397304691458,0.00044680342960149756,7.982575178752666e-05
2019年7月,0.00047143758876439954,,0.0007921380585667638,0.0004681015780424352,0.0011381139849945415,0.0010819429869646715,0.0008491415323895967,0.0007614174213183713,,0.00036809787339365255,0.00041779021116004883,0.0005696036876425186,0.0006712126972058544,,0.0007421384640891829,0.00030130805358763733,,0.0016162510191761448,,0.000733659935476162,-0.007084120760137402,,,,,1.6042976843108853e-05,0.000441727330553396,0.001236098865608496,0.000998078369298981,0.000801969598314958,0.0005267276448493748,0.0006015451390833156,,0.0007427883711309188,0.00023460994319595617,,0.0005008193404409614,,,,,0.00047889336379409157,0.0007299195604530138,0.00012903681252455606,0.0006400071276895891,0.00025329819007815975,0.0008980569735402506,0.000904877510483337,,0.001206788911701669,0.0005273907581961318,0.0002196257577088641
2019年8月,0.0006701836654943338,,0.000632487167037685,0.0003877744191017068,0.0010964199651407663,0.0008743723929601812,0.0009173003782171624,0.0006843894338055945,,0.00043697332109808037,0.00031398194062493234,0.0005787552103113489,0.0006127711475678995,,0.0006586446119321162,0.0003022658745559304,,0.001455412426161839,,0.0006120304330512927,0.0015913543486409834,,,,,0.0001658787426391308,0.0004552086372920922,0.0012136830357670264,0.0009364238712654002,0.0007908626823901582,0.000494573326804772,0.0006022710571214958,,0.0004913137268449214,0.000261822710643447,,0.0005045125847861427,,,,,0.000520927883059583,0.0006415152725277965,0.0004219698271258689,0.0006267978135644344,0.00023739091994336893,0.0009011358145884302,0.0006648671686319079,,0.00042278422630486585,0.00025354900074283005,0.00024401111841965668
2019年9月,0.0004569714510015291,,0.00040492091281287094,0.00027813606049306494,0.0009505437669490341,0.0007266217899740526,0.0007621188731101133,0.0006257140721599949,,0.00038852215757729597,0.00037832929782082324,0.000501062043936819,0.0004388795290129686,,0.00041560176805537216,0.0002971525358254526,,0.0015074271215164154,,0.0002987716902964355,0.0015138144536995185,,,,,-0.0006435752767032572,0.0003556540244293502,0.0009110718120381482,0.0005541539823912141,0.0005468084409201127,0.0004645312937312663,0.0003059874686362845,,0.00042813082934467576,5.6327714643797615e-05,,0.0002271640363462458,,,,,0.0005805697429017504,0.000761331656598491,0.00044625631414568014,0.0005213249901699314,0.00020309894011943832,0.0006000572573718866,0.0005566696982271877,,8.100760499395683e-05,-1.031515373447247e-05,0.00013970833198998398
2019年10月,0.0004947047194830238,,0.0004084978298552789,5.795492327073185e-05,0.000742598271949217,0.0007782119603005296,0.0008118598169034696,0.0006194893485215032,,0.0002820143267301965,0.0005359619144172141,0.0004530277195451998,0.0005523908165026756,,0.0003067424346697603,0.0002983293556085919,,0.0012822820675318783,,0.0005366244790294294,0.0015678235466382864,,,,,0.0005381054548715791,0.0003942289587648277,0.0009892879155516373,0.0006651500364074798,0.0006674034394142491,0.000468320898805637,0.0005917168928976933,,0.0006487500488516603,0.0001358569354965571,,0.000387384832885378,,,,,0.0005506479808281436,0.0007307312895520396,0.00034932463903120635,0.0006538137653742602,0.00016827709602479973,0.0006404887043872326,0.0003349311114277614,,0.0005009609938018356,0.000797150879642115,4.2191867517535994e-05
2019年11月,0.0005253940455341507,,0.0003938105540471884,-0.00012045036391066197,0.0006757742478028953,0.00042570442365479354,0.0006573185033921594,0.0006058624403754424,,0.0002926586919128648,0.0005441799949539673,0.0004841136740107741,0.0004743920871969696,,0.0002249160442696821,0.0002982025839253897,,0.0012809386068688394,,0.0003993771997838799,0.0017474069041832712,,,,,8.599021034528376e-05,0.0003948097252831434,0.0009807433181531324,0.0005098310293973873,0.0005094660287530502,0.00043711475690848446,0.00034746777121619845,,0.00029619626005617373,0.00027090224706284935,,0.0003394232173374222,,,,,0.000418196180474885,0.0006369705528776013,0.0003593682708291287,0.0006457643461414844,0.00015278728073311255,0.0007144361907727818,0.000612361758596985,,0.00018455560951918408,0.0004012812741528232,0.0006616791709800322
2019年12月,-0.0012048537303758495,,0.00040624375745604784,1.49141986153658e-05,0.0007501473966259769,0.00029197954929733417,0.0006808645787093852,0.0006367706902636805,,0.0003279497414524145,-7.077687269170882e-05,0.000504708179423993,0.0004541280091404109,,0.00011501303481061186,0.0003176737416795337,,0.0010016632556529052,,0.0005500303607326664,0.002221554444182103,,,,,0.00019723069099653777,0.0007114591969330817,0.0009449497085372334,0.00017863497901819442,0.00040280978398154376,0.0004636809418572633,0.0001598898739458689,,0.00014175889524273524,0.00011235008285818611,,0.0004641236393640316,,,,,0.0,0.0004653818666460635,0.0001957562113961024,0.0007994267813893445,0.0001997828532074025,0.00032096406480317083,0.0005389810088456295,,0.0010843294793912077,0.00044344060175304087,0.00014036451585039303
