,慶豐商業銀行,三信商業銀行,花蓮區中小企業銀行,中央信託局,中國農民銀行,台北富邦商業銀行,高雄區中小企業銀行,連線商業銀行,台中商業銀行,中華商業銀行,王道商業銀行,臺灣中小企業銀行,中國信託商業銀行,玉山商業銀行,凱基商業銀行,瑞興商業銀行,安泰商業銀行,聯邦商業銀行,臺北國際商業銀行,華泰商業銀行,星展(台灣)商業銀行,合作金庫銀行,大眾商業銀行,交通銀行,國泰世華商業銀行,第一商業銀行,兆豐國際商業銀行,元大商業銀行,台新國際商業銀行,花旗(台灣)商業銀行,臺東區中小企業銀行,華南商業銀行,高雄銀行,陽信商業銀行,第七商業銀行,將來商業銀行,臺灣新光商業銀行,上海商業儲蓄銀行,日盛國際商業銀行,彰化商業銀行,臺灣銀行,中華開發工業銀行,臺灣土地銀行,渣打國際商業銀行,澳盛(台灣)商業銀行,樂天國際商業銀行,匯豐(台灣)商業銀行,遠東國際商業銀行,京城商業銀行,板信商業銀行,中國輸出入銀行,永豐商業銀行
2017年11月,0.33905028815031185,0.324019998799386,,,,0.3820580465989764,,,0.15013248481342203,,0.028771461085547474,0.1625549516370516,0.3574739714535729,0.23913846772605588,0.236474911445338,0.21506667238348412,0.32926532268975783,0.30736769526898267,,0.14904097320695575,0.3174558369389827,0.27129118121096174,,,0.2862092862092862,0.21573743766108935,0.14206074123536166,0.31281892749680557,0.37419421863765734,0.5995461547380452,,0.2741435107406949,0.1984272473401977,0.13193737851473963,,,0.3496202257562721,0.17813283681776365,0.3354656371877306,0.21912574671689422,0.31498981539890675,,0.43533338812555467,0.5896009609372928,0.5112665310274669,,0.6159068982151471,0.4155967147167281,0.08416939486746225,0.16928335232167172,,0.3035027906040238
2017年12月,0.34941987968782545,0.32514184184098266,,,,0.37531922896718295,,,0.1498592352703051,,0.03386785467170031,0.1587532684417729,0.37599457214026255,0.23798231929277172,0.2454621003367887,0.21498829039812647,0.33055282249781054,0.30343807395759204,,0.14361512669033027,0.42888786930621575,0.27390111568591513,,,0.2939167932019715,0.21735329423834626,0.14193421342916324,0.3162348501342623,0.3767567545292897,0.5890077758083089,,0.27322257070191946,0.19790786969789098,0.13032713862473325,,,0.3479361469363552,0.17836210073950926,0.33885519407555376,0.21290199982292898,0.31191557169895007,,0.4431310410893866,0.5868457029421128,,,0.6017950740917222,0.4172180958811614,0.08178041706565994,0.16930391757699553,,0.30892405569179765
2018年1月,,0.32773910555926383,,,,0.38201670403344146,,,0.15100299158182787,,0.03686500081226948,0.15746732039212863,0.3615561479586931,0.23836529626643888,0.24456930950872527,0.20888573397081237,0.32877859235962775,0.3064733324459111,,0.14748641390006179,0.42924636622708773,0.27178698005939084,,,0.28579472180888366,0.21982294079714199,0.1441566338319348,0.3298294602906725,0.37305216068967695,0.596629316318659,,0.2781119840141022,0.20228085713299823,0.12884307439151677,,,0.3535918849197674,0.17888585033992357,0.33957677727920743,0.213327979974185,0.30820278419049235,,0.4482541927075776,0.5966048972934014,,,0.5826834990503854,0.4168201713619387,0.08046701133289964,0.16918731964881403,,0.3061415894782025
2018年2月,,0.3274677363097314,,,,0.3854432868508955,,,0.15107571863288827,,0.037904372289438486,0.1573970217493484,0.3602190521666468,0.23638095332093031,0.24015912694166966,0.2100813894948817,0.3304154254804332,0.3084623565492679,,0.14355072008049807,0.42199003757237225,0.27361582709733895,,,0.28420577531181695,0.2191943743247505,0.14417828328780322,0.33029705852713614,0.36865953264816903,0.6020995731636974,,0.2776047207087672,0.2017463579170336,0.12866167902364198,,,0.3525730456501096,0.17815865917635473,0.33470256617235405,0.2128964034595211,0.2988869172042849,,0.4484725175509653,0.5858781190735736,,,0.5952218920369908,0.4130239286831404,0.08050113926389184,0.16894027391339583,,0.30766829807132234
2018年3月,,0.3231630305022578,,,,0.3784815126001918,,,0.15203079033964723,,0.04017005864504755,0.15733136065668743,0.37490961543909956,0.2358281475386149,0.23682890115403912,0.21008473515047793,0.32765161606581483,0.30988215467506425,,0.1399222237505158,0.41985270407009717,0.2674000133183679,,,0.2800199312492939,0.21738234099747628,0.14497590185073114,0.3299439498660344,0.36783472740341566,0.5976109595509155,,0.2784532987754565,0.20123159642239621,0.12825486236581995,,,0.3511136821662475,0.17987273913998386,0.3311778769834842,0.21092464292980376,0.293722007235781,,0.44605093762843956,0.5829470634223699,,,0.5846452731749615,0.40580313948420804,0.07915786040000272,0.17017570123984377,,0.30968540397748384
2018年4月,,0.31980028112415165,,,,0.3798040593718437,,,0.15151214102534483,,0.040366208905534745,0.15712270427348907,0.359971119048807,0.2380586733378248,0.2368851357055092,0.2099868209108215,0.3198329095532147,0.3112543193761189,,0.13883794338186672,0.4140529919793545,0.2666383094353246,,,0.2785668854491812,0.21946360506942422,0.1454190095654581,0.3288854113600734,0.3685812164436253,0.5963225652445465,,0.28009294327839196,0.19947130553423723,0.12812683188548832,,,0.3513612695821171,0.18157825569350175,0.32612446206042883,0.21126024561827422,0.29955793591849117,,0.4465126297320979,0.5903772299538101,,,0.5929050998977584,0.40879875917053965,0.07795147959115327,0.16975193997393107,,0.30573630077446784
2018年5月,,0.3172842891913201,,,,0.37817276363105673,,,0.1478314154148381,,0.041259146358610374,0.15984976240698265,0.3587355130926449,0.23891848597745227,0.2371804344613566,0.20678273784965756,0.32566654742114015,0.3172808081672315,,0.1284260907494076,0.40287764631735756,0.2670644523761489,,,0.27704668365348484,0.2188162480493309,0.14479837827139477,0.328661285426808,0.3667252287033732,0.5722472510809653,,0.2773648725513245,0.20039953142773065,0.12758729036565727,,,0.34780328472190275,0.18197677596458092,0.32391873221232514,0.2086326792530514,0.30478743525917346,,0.44306034366876434,0.5895076650724109,,,0.5921142452461697,0.4077641022842016,0.07480841982733534,0.16862437832418112,,0.29957326525653705
2018年6月,,0.3152050720500388,,,,0.37175029352187544,,,0.14668482386033843,,0.04342732825704962,0.16175001386317006,0.3782900711229286,0.2388406200152798,0.23471629096799065,0.20753700095352598,0.324401386099462,0.320052380734853,,0.12527937467879383,0.4029665456319876,0.2677994271991258,,,0.2787595620539265,0.21889458010136245,0.1433252527635062,0.3261448552962987,0.37034057869172887,0.5833163551163857,,0.27611162896116376,0.19760545857253642,0.12650667013307768,,,0.3473941963306776,0.1837272814291013,0.3231702711548629,0.20912264003564177,0.3090414577798164,,0.4394372556841661,0.580003783028751,,,0.5843354379610186,0.3943566261029566,0.07360618878853702,0.17118776212495967,,0.30032847188815653
2018年7月,,0.3124098736109933,,,,0.3738618477820592,,,0.14505383098063848,,0.046472318319604244,0.16189239699561261,0.3665496253320854,0.2403912997536302,0.24140188785624647,0.20779597159831908,0.32567644767592835,0.3184216494968426,,0.12356205008011863,0.3991660672700988,0.27034574972271774,,,0.27561554538577565,0.2211196823896678,0.14625248535066437,0.3274343829727746,0.35897035193416144,0.5861536359100342,,0.2771347136922619,0.19609366761207533,0.12526996458064701,,,0.3467686991404636,0.19158118804895588,0.31968740681840774,0.20988677563279937,0.3095442645649256,,0.4415212466998128,0.5949841773324539,,,0.5840333026931651,0.3985994821790241,0.07306588446512334,0.17402509094618027,,0.2962444204492313
2018年8月,,0.3129323514770757,,,,0.3729271521458759,,,0.1470062971678255,,0.05013409072906883,0.1622208241871797,0.3650721618849568,0.23914248436025745,0.2392714362432126,0.204704962232696,0.32834009573265693,0.3185085460769353,,0.12167255032916706,0.4004156204619754,0.2691908785418943,,,0.2732108332990772,0.22070263772652016,0.14589428823255304,0.32773341488872176,0.35687049233524515,0.5769070108170454,,0.27732157955739506,0.19744348550145716,0.12513746305183868,,,0.3465330995367364,0.1954729036142958,0.3143992275475249,0.20892950848347036,0.30507894307714506,,0.4415996308103498,0.5954231481378821,,,0.5842685965954425,0.39682975876477705,0.07271667021983672,0.1751024120692367,,0.2915731391633049
