,上海商業儲蓄銀行,板信商業銀行,中國輸出入銀行,兆豐國際商業銀行,星展(台灣)商業銀行,陽信商業銀行,高雄銀行,高雄區中小企業銀行,安泰商業銀行,凱基商業銀行,中華商業銀行,大眾商業銀行,第七商業銀行,交通銀行,遠東國際商業銀行,中華開發工業銀行,聯邦商業銀行,國泰世華商業銀行,中央信託局,王道商業銀行,第一商業銀行,臺東區中小企業銀行,瑞興商業銀行,合作金庫銀行,台新國際商業銀行,三信商業銀行,花旗(台灣)商業銀行,日盛國際商業銀行,臺灣銀行,臺灣土地銀行,京城商業銀行,玉山商業銀行,將來商業銀行,元大商業銀行,連線商業銀行,匯豐(台灣)商業銀行,台北富邦商業銀行,台中商業銀行,華泰商業銀行,花蓮區中小企業銀行,樂天國際商業銀行,渣打國際商業銀行,華南商業銀行,臺灣中小企業銀行,彰化商業銀行,慶豐商業銀行,澳盛(台灣)商業銀行,臺北國際商業銀行,永豐商業銀行,臺灣新光商業銀行,中國農民銀行,中國信託商業銀行
2018年6月,7.088107702594713,14.716673545191911,,8.712110394721908,12.081979458450046,14.285704130233881,16.614471373375483,,8.203017832647463,7.305701083875844,,,,,11.14209352049828,,9.308086560364465,10.996613168336527,,7.361316273102396,10.846769402625098,,13.117446486076908,13.285315194349765,9.622810970644275,13.972604047346316,6.0363645678569595,9.11493979344153,13.037486484809088,15.794876628272796,5.044440148041761,11.50792921932294,,9.508330063144376,,11.140283219066275,10.107152475425288,13.173071268631398,13.075400168491997,,,10.488621696895592,11.954319309988545,16.350471663259526,11.091854591735274,,1.496091055415038,,9.062633326382986,13.508941490743146,,8.641620909995826
2018年7月,6.978394339607419,14.684246669413541,,8.402145841796761,11.78658176735518,14.038062405459598,16.24343625288805,,8.208806553714393,7.463951064947388,,,,,11.06274113540327,,9.243021905410275,11.100519220494945,,7.851393295626983,10.7373822620752,,12.909724839803996,13.289835726952083,9.764299454324187,13.923252279635259,5.876391710686713,9.374757189557966,13.008946758018459,15.599028595323105,4.979877373524566,11.457735037394182,,9.447087022279614,,10.338964511424404,10.024757073648262,12.971541802874928,13.20254495740877,,,11.388682724962328,11.855770887405587,16.361151692232774,10.998253378334011,,2.233930897111775,,9.061099375823897,13.540986915750647,,8.90831223000149
2018年8月,7.111417711050321,14.41980051219841,,8.294368883131837,11.848761045541618,14.177356896430332,16.048196127594373,,8.207215541165587,7.452636735245431,,,,,11.229337287555607,,9.423174813122507,11.018596305207781,,7.919289444749863,10.744330224408452,,12.860142482189726,13.215430112454953,9.9394479559112,13.998776125023536,5.967436287293708,9.440757175226587,12.969216860662222,15.350298847348647,4.897157346857067,11.550755601875977,,9.329437737634258,,9.725181622426597,9.87616613981562,12.97395971963446,12.95539930737748,,,10.891515869997987,11.795589328487651,16.300150774983415,10.934367719872032,,2.4619142879125953,,9.217557342254555,13.49745851940602,,8.784353550917496
2018年9月,7.104249050777496,14.358732299393122,,8.14262854360799,12.166956467738931,13.479959411466261,15.590779896013865,,8.109817176217545,7.44214631840208,,,,,11.357653791130186,,9.504230118443317,10.85429892704298,,7.963344827586207,10.705004091209322,,12.961315641936087,13.009956341944873,9.270653285699462,13.885529764133283,5.9078268692522995,9.319903986445146,12.942830536461733,15.251445803828755,4.833258032795599,11.387301587301588,,9.106534574027402,,9.715778974665868,9.772828324864202,12.625891991894987,13.04986353138778,,,10.976168673084224,11.572983712071457,15.869158543149334,10.8781451727662,,2.495103415857098,,9.02110434269994,13.245379579731637,,8.750532487902786
2018年10月,7.131555164183255,14.482408341742348,,8.344017994216145,12.245162893257554,13.473716073050147,15.541614820959492,,8.005652479452474,7.343385330349058,,,,,10.967289402941242,,9.849700210662778,10.856463598852358,,8.117841865599559,10.427792688252236,,12.770482603815937,12.909352725178199,9.31609916720808,13.764700400708229,6.048339056176218,9.121958068139273,13.147643863888538,15.125976941323108,5.082629341284302,11.416419031237364,,8.874633748851402,,9.215261823655233,9.661303110609088,12.753583422964638,13.04097756241441,,,11.025613636869394,11.605446485117163,15.542793248242473,10.863195524381666,,2.1189711869715,,9.154221502803388,12.741103917180586,,8.707976732211693
2018年11月,7.080230149597238,14.298260927952729,,8.45218663655025,12.410407141301981,13.431606994171524,15.5859617640969,,7.969016996564201,7.320515453331964,,,,,11.039997311105136,,10.0384057094472,10.680874764599807,,7.477814310317833,10.32771304301133,,12.72608614581391,12.900880298536025,9.335053435562136,13.856692329097486,6.173833790670326,9.221385823826445,13.148268307613003,15.1435332429453,5.397849760314777,11.520137605911957,,8.956350607629169,,9.511021648609713,9.545207209833357,12.295239098377923,12.802041675436751,,,11.764647003870278,11.542862261016838,15.279011004581307,10.75986416351637,,2.303573525382598,,9.266991009224302,12.494668135966771,,8.828399865263389
2018年12月,6.939400402169277,13.916304981537863,,8.116370780799457,12.227007433802298,13.679063452112862,15.488901220865705,,7.926448513959772,7.224651338107803,,,,,10.974655253335717,,10.330680973335745,10.767470906603755,,7.509947218838814,10.544472606745954,,12.841363973313566,12.996779879007288,8.99854141319274,13.796163069544365,5.7258671204927625,9.142159598214286,12.976799138631351,15.437175955672327,5.363659618008185,11.732117023494405,,9.105421999308199,,9.469534824356431,9.675127422644902,12.32409537753608,13.057674125433344,,,11.308731670579895,11.68537676575093,15.42599694153629,10.701367853840512,,2.1847215722976134,,9.150528803316158,12.45641439080923,,8.4292771666909
2019年1月,6.987817816537371,13.728211749515816,,7.999014151471082,11.882184346129218,13.44834104686787,15.272115846544507,,7.753048871395772,7.214542160185216,,,,,10.744980673660962,,9.934246954595793,10.615392492466134,,7.350063434105889,10.382982294603979,,12.833056017748197,13.013122161297154,9.221545858404093,13.648651128647458,5.842570051076423,9.236703113417347,12.919303660680265,15.022679776412529,5.083090577441398,11.608327988492507,,8.942499656970362,,9.474457622215795,9.355828480453605,12.104196065410475,13.009199247334308,,,12.00925966463815,11.32991310089242,15.621883141049498,10.47112462006079,,2.1386611756478495,,9.146347424294497,12.260240763802408,,8.470585889998604
2019年2月,6.888670935267775,13.69859046147905,,7.997990632188687,11.937581948467754,13.50300854037267,14.912448979591836,,7.673497186852236,7.414119323359345,,,,,10.800192754194594,,9.700243214320459,10.619041424565664,,7.535064059339177,10.371976255725082,,12.666053696211842,12.951765462356374,9.246084215518083,13.726518329381726,5.708139402883415,9.318414617265722,12.627878618517155,14.903742346620017,4.969196251814703,11.693892386737472,,9.025390990623032,,9.21656136577497,9.181063009675643,12.007475596194242,13.018928757150286,,,11.315192446396958,11.209510323117255,15.65589973389856,10.475598546855167,,2.486398258977149,,9.24596468339452,12.390246716218666,,8.56966446834449
2019年3月,6.805828911984882,13.758043840533265,,8.12677125332271,11.914176829268293,13.567090236448449,14.69002822201317,,7.766465656714223,7.254381523283733,,,,,10.769545189126063,,9.595344999616241,10.360509325512089,,7.762865301658667,10.386559970050072,,12.662444933920705,12.890964551462773,9.231953283542941,13.754209668658337,5.614396127138999,9.330352228948817,12.504401007015375,14.66356210870494,4.7323433353745665,11.577916192723888,,8.886676089992765,,8.83302224592412,9.213880004984217,11.883935497040213,12.943968630688268,,,11.655604176595467,11.115003466629133,15.577078968940706,10.416804517356749,,2.356600023383608,,9.532935437072005,12.446202737940027,,8.479077317663101
