,上海商業儲蓄銀行,板信商業銀行,中國輸出入銀行,兆豐國際商業銀行,星展(台灣)商業銀行,陽信商業銀行,高雄銀行,高雄區中小企業銀行,安泰商業銀行,凱基商業銀行,中華商業銀行,大眾商業銀行,第七商業銀行,交通銀行,遠東國際商業銀行,中華開發工業銀行,聯邦商業銀行,國泰世華商業銀行,中央信託局,王道商業銀行,第一商業銀行,臺東區中小企業銀行,瑞興商業銀行,合作金庫銀行,台新國際商業銀行,三信商業銀行,花旗(台灣)商業銀行,日盛國際商業銀行,臺灣銀行,臺灣土地銀行,京城商業銀行,玉山商業銀行,將來商業銀行,元大商業銀行,連線商業銀行,匯豐(台灣)商業銀行,台北富邦商業銀行,台中商業銀行,華泰商業銀行,花蓮區中小企業銀行,樂天國際商業銀行,渣打國際商業銀行,華南商業銀行,臺灣中小企業銀行,彰化商業銀行,慶豐商業銀行,澳盛(台灣)商業銀行,臺北國際商業銀行,永豐商業銀行,臺灣新光商業銀行,中國農民銀行,中國信託商業銀行
2019年1月,0.7440231986682087,0.7280366799905948,,0.8054955592014692,0.6847446753913267,0.7643097071896312,0.8105603738821732,,0.7373872176113594,0.7978257330883892,,,,,0.7869712772802114,,0.6810860845418081,0.7367080687992922,,0.7739967667514271,0.7853319544908066,,0.6836229002794825,0.7610673049692332,0.8013833434713475,0.7824973276053326,0.5200676492695839,0.8105886188648961,0.6781524105415093,0.8297467948677659,0.8148703583689952,0.7176097110116817,,0.6977560663120332,,0.609108931849916,0.6785889743623085,0.7808091181376945,0.71704192983302,,,0.5101921776426477,0.7609459146358944,0.8277281958738326,0.7915555047004198,,0.3673406361836249,,0.7922989502971416,0.7667913100831152,,0.7177237532653974
2019年2月,0.7359194089993284,0.7274743345784292,,0.7976621369450976,0.6843877157445982,0.7537140187587594,0.8224192908267302,,0.7409023902691272,0.7605509794544731,,,,,0.7715688580978032,,0.704190603036041,0.7128730660184105,,0.7332644535651381,0.7766149584360907,,0.6875199628328349,0.7563552233672772,0.7926126442772204,0.7709948513535958,0.5232898461375283,0.8006169599619722,0.6945380750486594,0.831904767693722,0.8135324926430749,0.7036212658889376,,0.6866685773870019,,0.6139594194201703,0.6905136314746577,0.7828470189123228,0.7176877541401375,,,0.5431520714539583,0.7551466834728027,0.8168928379858919,0.7852128985431122,,0.32550797124101283,,0.7828313033091568,0.7525122937790885,,0.6948985906916785
2019年3月,0.7428936346530488,0.7371758139881577,,0.777721854494943,0.6971147817853807,0.7595137207664565,0.8268981826664898,,0.7347067089360316,0.7792405462303128,,,,,0.7723732009566784,,0.7127687868322699,0.7217379689748687,,0.7000837448833441,0.7702238878596299,,0.683235485975212,0.7614349254880759,0.7823196034303573,0.759137491854748,0.530753429902155,0.7914903238808685,0.6988747379059553,0.8393236922255688,0.8191890871839111,0.7049895950501754,,0.6895344422594978,,0.6191358197723436,0.6824733879651789,0.7733367228106095,0.7018973214285714,,,0.5206803879222223,0.755044602238085,0.820788559283011,0.7968058133432993,,0.34505854336177816,,0.7690520779533115,0.7511270801716383,,0.668810877889851
2019年4月,0.7339776195320448,0.7226582190672185,,0.7579115917485189,0.7049839332873665,0.7615698724255581,0.8225957815133706,,0.7276541859297612,0.7509813719350538,,,,,0.741963644828991,,0.7099453409373851,0.7185713434901347,,0.6943808170153449,0.7614748518215488,,0.690421054164664,0.7474322039648523,0.7788099461269817,0.7546627842921224,0.5310192618435234,0.7846410281186588,0.706600006384308,0.8309810869861507,0.8170003569458416,0.6981687336614629,,0.681827950833442,,0.5921521376873635,0.6777141647090836,0.7733797512248212,0.6744526539021758,,,0.550535559984458,0.7439497901043288,0.810039122968353,0.7991395155398658,,,,0.7563427093616178,0.7531561021038929,,0.696933981605339
2019年5月,0.7487288429267801,0.7361007570671173,,0.7459483244185022,0.7259009814706728,0.7552646358501163,0.8139453541983692,,0.7380984480795734,0.7865340389200693,,,,,0.7540157363275253,,0.7223735135381006,0.7187248999180424,,0.7087542760318425,0.7754092634338516,,0.701012412554495,0.7532404544134345,0.7781060574435835,0.7484067103695651,0.5098788401617181,0.8028408838524675,0.6862265295657599,0.8275094652556013,0.8117386130044358,0.7060673904181042,,0.6897894028818553,,0.5937725154406467,0.6923892137794054,0.7670563938921439,0.7135139467778134,,,0.547818297317139,0.7593752633236469,0.834977160463782,0.7975206660840141,,,,0.770234566506809,0.7575090231424773,,0.6972489446694341
2019年6月,0.7636802724447017,0.7302132373303793,,0.7734612176606045,0.7430112349534361,0.7456375747193469,0.8106772777017157,,0.7574911256934825,0.8022563452739226,,,,,0.7681960563872662,,0.7165668857614439,0.6906028806873538,,0.7491775685090477,0.7788630671638441,,0.695560704487626,0.755433606310396,0.7858042179289728,0.7412324471886529,0.5344379626452277,0.8064572783420659,0.679169779132682,0.8470881881918412,0.816897772136103,0.7115613640674509,,0.6766015147431257,,0.5791525777499478,0.6993627644763755,0.7636546087125605,0.7171663571239055,,,0.5482901839226135,0.7620038784866018,0.8309254513321784,0.8163015117932172,,,,0.7620730101880127,0.7554469110083979,,0.6717290883446326
2019年7月,0.752431977352755,0.7390114393966993,,0.7627716579977057,0.7482462092363082,0.7411633738516378,0.809868411949468,,0.7626916070040265,0.8332922422355435,,,,,0.7918389474621117,,0.7113413211584664,0.68784132786213,,0.7593642921173228,0.7806230737291331,,0.7086112409193254,0.7595891575139011,0.7932459734535171,0.7513487099296325,0.509620296271071,0.7742073652897541,0.679574279677122,0.8467885776438947,0.8038505568810382,0.7109464510962314,,0.6738864428646948,,0.6079872148974239,0.6982124663161319,0.7575934932399653,0.6971035126243736,,,0.5415223330159453,0.7643281317340309,0.8295577169512804,0.8173874259344565,,,,0.75922524503916,0.754641468342541,,0.6838793894378832
2019年8月,0.746665877444717,0.7433011274354852,,0.7606888586239645,0.7252098608011901,0.7404222957859891,0.8038706349425668,,0.7865806151520437,0.8281674759830219,,,,,0.7985689501227456,,0.7058165676401092,0.6837074844728436,,0.7858968295635498,0.763379406464442,,0.6824244586546642,0.7649341309570176,0.7952040491174562,0.7389906513153232,0.5125377219564649,0.7649555441388152,0.6931603245487138,0.8491757955027126,0.8250705683352276,0.7098658687608972,,0.6780868608717991,,0.6389421847730633,0.6974353998657715,0.7515887206405969,0.693137812983556,,,0.4971004592756235,0.770093145815231,0.8258083357369483,0.8115507489718801,,,,0.7679614780641044,0.7432417677290918,,0.6966776508244003
2019年9月,0.7661229914724299,0.7354543108483156,,0.7851005198140821,0.707747982407447,0.7460937150024638,0.80411907504371,,0.7898967998632287,0.8444729046379109,,,,,0.7997008065389413,,0.7011043089105454,0.6758158613832908,,0.7578931222251575,0.7723864731971766,,0.6817450798669792,0.7654971593268914,0.7975577797816849,0.7429684709549631,0.5199652270122891,0.7704254382917622,0.698539630385213,0.8653715302426367,0.8283121267480743,0.7046847493565209,,0.6751663734941419,,0.6670540357920268,0.7004185831578043,0.7625984955931956,0.6886762695825885,,,0.5582733111763043,0.7635295495883179,0.8378460318742063,0.8246248529404926,,,,0.762422044182128,0.7400708752433485,,0.6624807028013647
2019年10月,0.7532371656873343,0.7380540110836482,,0.7691608905298037,0.7337063848785391,0.747778214882831,0.7853957086320928,,0.7855251888188118,0.8401478247858274,,,,,0.765176984891321,,0.7086371720343257,0.6731033685791876,,0.7372359173266564,0.756494159038939,,0.680433404096937,0.7590341074323256,0.7942384671468653,0.7402673584180098,0.49631392273003166,0.7653019561263502,0.7059211582321016,0.8603350687605966,0.8336206713066429,0.7090741880801912,,0.6734653625206639,,0.6278939825104377,0.6945891687650733,0.7598983824784037,0.675101869219326,,,0.5260941794900257,0.7608585619446631,0.8232842740266425,0.8251151589466338,,,,0.7445510974595252,0.7381291765618976,,0.6917038427830108
